lang	domain	intent	utterance
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algun temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguna temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes recordatori
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes recordatoris
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes temportizador
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí algunes temportizadors
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns alarma
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns alarmes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns alerta
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns alertes
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns esdeveniment
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns esdeveniments
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns event
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns events
ca	ovos-skill-alerts.openvoiceos	missed_alerts.intent	em perdí alguns recordatori
