domain,intent,utterance
ovos-skill-days-in-history.openvoiceos,"births_in_history.intent","hvem blev født i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete den {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete den {date} i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete denne dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete denne dato"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete i dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om  skete i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete den {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete den {date} i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete denne dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete denne dato"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete i dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","fortæl mig om historiske begivenheder skete i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete den {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete den {date} i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete denne dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete denne dato"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete i dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad  skete i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete den {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete den {date} i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete denne dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete denne dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete denne dato"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete denne dato i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete i dag"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","hvad historiske begivenheder skete i dag i historien"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","i dag i historien"
ovos-skill-days-in-history.openvoiceos,"deaths_in_history.intent","hvem døde i dag i historien"
ovos-skill-ddg.openvoiceos,"official_website.intent","hvad er {query} officielle hjemmeside"
ovos-skill-ddg.openvoiceos,"birthdate.intent","hvad er {query} fødselsdag"
ovos-skill-ddg.openvoiceos,"birthdate.intent","hvad er {query} fødselsdato"
