domain,intent,utterance
ovos-skill-ddg.openvoiceos,"fields.intent","lo que es {query} campo de experiencia"
ovos-skill-ddg.openvoiceos,"children.intent","cuántos niños tenían"
ovos-skill-ddg.openvoiceos,"children.intent","cuántos niños tienen"
ovos-skill-ddg.openvoiceos,"thesis.intent","qué es tema de la tesis"
ovos-skill-ddg.openvoiceos,"birthdate.intent","Qué es el cumpleaños"
ovos-skill-ddg.openvoiceos,"birthdate.intent","cuando nació"
ovos-skill-ddg.openvoiceos,"birthdate.intent","cuando nació {persona}"
ovos-skill-ddg.openvoiceos,"birthdate.intent","lo que es {persona} fecha de nacimiento"
ovos-skill-ddg.openvoiceos,"born.intent","cuando es el día de nacimiento"
ovos-skill-ddg.openvoiceos,"born.intent","cuando es el nacimiento"
ovos-skill-ddg.openvoiceos,"born.intent","cuando es {query} cumpleaños"
ovos-skill-ddg.openvoiceos,"born.intent","cuando nació"
ovos-skill-ddg.openvoiceos,"born.intent","día de nacimiento"
ovos-skill-ddg.openvoiceos,"born.intent","fecha de nacimiento"
ovos-skill-ddg.openvoiceos,"who.intent","que es {persona}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","Pregúntale al pato sobre {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","Qué dice el pato del pato sobre {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","Qué dice el pato sobre {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","buscar el pato para {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","buscar pato de pato ir por {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","búsqueda de pato para {query}"
ovos-skill-ddg.openvoiceos,"education.intent","donde consiguió su educación"
ovos-skill-ddg.openvoiceos,"education.intent","dónde lo hizo estudio"
ovos-skill-ddg.openvoiceos,"died.intent","cuando fue la muerte"
ovos-skill-ddg.openvoiceos,"died.intent","cuando murió"
ovos-skill-ddg.openvoiceos,"died.intent","día de la muerte"
ovos-skill-ddg.openvoiceos,"died.intent","fecha de la muerte"
ovos-skill-ddg.openvoiceos,"resting_place.intent","donde está descansando enterrado"
ovos-skill-ddg.openvoiceos,"resting_place.intent","donde está {query} lugar de descanso"
ovos-skill-ddg.openvoiceos,"alma_mater.intent","qué es alma mater"
ovos-skill-ddg.openvoiceos,"age_at_death.intent","cuando murió"
ovos-skill-ddg.openvoiceos,"age_at_death.intent","que edad tenía en su muerte"
ovos-skill-ddg.openvoiceos,"age_at_death.intent","qué edad tenía el día que murió"
ovos-skill-ddg.openvoiceos,"official_website.intent","lo que es {query} sitio oficial"
ovos-skill-ddg.openvoiceos,"known_for.intent","lo que es famoso por"
ovos-skill-ddg.openvoiceos,"known_for.intent","qué es conocido"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","Pregúntale al lobo"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","Pregúntale al loboram alpha sobre {query}"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","Pregúntale al wolfram sobre {query}"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","buscar el lobo para {query}"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","buscar wolfram alpha para {query}"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","buscar wolfram para {query}"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","¿Qué dice Wolfram Alpha sobre {query}"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","¿Qué dice el lobo acerca de {query}"
ovos-skill-wolfie.openvoiceos,"search_wolfie.intent","¿Qué dice wolfram acerca de {query}"
ovos-skill-wordnet.openvoiceos,"definition.intent","cuál es la definición de {query}"
ovos-skill-wordnet.openvoiceos,"definition.intent","lo que es un {query}"
ovos-skill-wordnet.openvoiceos,"search_wordnet.intent","lo que dice wordnet sobre {query}"
ovos-skill-wordnet.openvoiceos,"search_wordnet.intent","búsqueda wordnet para {query}"
ovos-skill-wordnet.openvoiceos,"search_wordnet.intent","qué dice la palabra neta sobre {query}"
ovos-skill-wordnet.openvoiceos,"search_wordnet.intent","búsqueda palabra red para {query}"
ovos-skill-wordnet.openvoiceos,"search_wordnet.intent","pregúntele a wordnet sobre {query}"
ovos-skill-wordnet.openvoiceos,"search_wordnet.intent","pregunte la palabra neta sobre {query}"
ovos-skill-wordnet.openvoiceos,"antonym.intent","cuáles son las antónimos de {query}"
ovos-skill-wordnet.openvoiceos,"antonym.intent","cuál es la antónima de {query}"
ovos-skill-wordnet.openvoiceos,"antonym.intent","lo que es una antónima de {query}"
ovos-skill-wordnet.openvoiceos,"hypernym.intent","lo que es un hipernym de {query}"
ovos-skill-wordnet.openvoiceos,"hypernym.intent","que son los hipernyms de {query}"
ovos-skill-wordnet.openvoiceos,"hypernym.intent","lo que es el hipernym de {query}"
ovos-skill-wordnet.openvoiceos,"hyponym.intent","cuál es el hiponym de {query}"
ovos-skill-wordnet.openvoiceos,"hyponym.intent","cuáles son las hipónymas de {query}"
ovos-skill-wordnet.openvoiceos,"hyponym.intent","lo que es un hiponym de {query}"
ovos-skill-wordnet.openvoiceos,"holonym.intent","lo que es un holonym de {query}"
ovos-skill-wordnet.openvoiceos,"holonym.intent","lo que es el holonym de {query}"
ovos-skill-wordnet.openvoiceos,"holonym.intent","que son los holónimos de {query}"
ovos-skill-wordnet.openvoiceos,"lemma.intent","lo que es un lema de {query}"
ovos-skill-wordnet.openvoiceos,"lemma.intent","cuál es la lema de {query}"
ovos-skill-wordnet.openvoiceos,"lemma.intent","cuáles son los lemas de {query}"
