domain,intent,utterance
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué des alarmes ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué des alertes ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué des événements ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué l'alerte ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué la minuterie ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué un chronomètre ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué un événement ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué une alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué une alerte ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je manqué une minuterie ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je oublié des chronométreurs ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je oublié des rappels ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je oublié les chronomètres ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je oublié un chronomètre ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Ai-je oublié une minuterie ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Alerte à l'oubli"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quel rappel ai-je manqué ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quel événement ai-je manqué ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelle alarme ai-je manqué ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelle alarme ai-je manquée ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelle alerte ai-je manquée ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelle minuterie ai-je manquée ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelles alarmes ai-je manquées ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelles alertes ai-je manquées ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quelles sont les alarmes que j'ai manquées ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quels sont les chronomètres que j'ai manqués ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quels sont les rappels que j'ai manqués ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","Quels sont les événements que j'ai manqués ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","a manqué un chronomètre"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","a manqué un minuteur"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","a manqué un rappel"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","a manqué un événement"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","a manqué une alarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","a manqué une alerte"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je manqué des alarmes ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je manqué un rappel ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je manqué une alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je oublié des rappels ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je oublié un rappel ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je oublié une alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je oublié une alerte ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté des alarmes ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté des alertes ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté des chronomètres ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté des événements ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté l'alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté le chronomètre ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté un rappel ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté un événement ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté une alarme ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté une alerte ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","ai-je raté une minuterie ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alarme manquée"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alarmes manquées"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alerte manquée"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","alertes manquées"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manque de chronomètres"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manque de rappel"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manque un chronomètre"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer des alarmes"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer des rappels"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer un chronomètre"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer un rappel"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer un événement"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer une alarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer une alerte"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquer une minuterie"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manquez un chronomètre"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","manqué un chronomètre"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","minuterie manquante"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","minuterie manquée"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","minuteries manquantes"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","minuteries manquées"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a manqué aucun chronomètre"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a manqué aucune alarme"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a manqué aucune minuterie"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a pas reçu d'alerte"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a pas reçu de rappel"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","n'a pas reçu de rappels"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","oublier les rappels"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","oublier un rappel"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","quelle alarme ai-je ratée ?"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","rappel de l'absence d'une personne"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","rappel manqué"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","rappels d'oublis"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","rappels manqués"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","événement manqué"
ovos-skill-alerts.openvoiceos,"missed_alerts.intent","événements manqués"
ovos-skill-boot-finished.openvoiceos,"disable_ready_notification.intent","arreter  avis de démarrage"
