domain,intent,utterance
ovos-skill-ddg.openvoiceos,"who.intent","chi è {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","cerca con duck duck  {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","cerca con duck duck go {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","cerca su duck duck  {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","cerca su duck duck go {query}"
ovos-skill-ddg.openvoiceos,"search_duck.intent","cerca {query} con duck duck"
ovos-skill-ddg.openvoiceos,"search_duck.intent","cerca {query} con duck duck go"
ovos-skill-ddg.openvoiceos,"search_duck.intent","cerca {query} su duck duck"
ovos-skill-ddg.openvoiceos,"search_duck.intent","cerca {query} su duck duck go"
ovos-skill-ddg.openvoiceos,"born.intent","quand'è il compleanno di {query}"
ovos-skill-ddg.openvoiceos,"born.intent","quando è il compleanno di {query}"
ovos-skill-ddg.openvoiceos,"born.intent","quand'è nata {query}"
ovos-skill-ddg.openvoiceos,"born.intent","quand'è nato {query}"
ovos-skill-ddg.openvoiceos,"born.intent","quando è nata {query}"
ovos-skill-ddg.openvoiceos,"born.intent","quando è nato {query}"
ovos-skill-ddg.openvoiceos,"official_website.intent","qual è il sito  di {query}"
ovos-skill-ddg.openvoiceos,"official_website.intent","qual è il sito ufficiale di {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","mostra passo dopo passo {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","mostra step by step {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","passo dopo passo {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","spiega passo dopo passo {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","spiega step by step {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","step by step {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come faccio a {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come faccio {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come fare a {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come fare {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come posso   {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come posso fare a {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come posso fare {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come poter   {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come poter fare a {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come poter fare {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come potere   {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come potere fare a {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come potere fare {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","come {query}"
ovos-skill-wikihow.openvoiceos,"howto.intent","passaggi per {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cerca su wiki how  {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cerca su wiki how per {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cerca su wikihow  {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cerca su wikihow per {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how su gli {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how su i {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how su il {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how su l' {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how su la {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how su le {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how su lo {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how su {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how sugli {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how sui {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how sul {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how sull' {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how sulla {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how sulle {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wiki how sullo {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow su gli {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow su i {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow su il {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow su l' {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow su la {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow su le {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow su lo {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow su {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow sugli {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow sui {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow sul {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow sull' {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow sulla {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow sulle {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa dice wikihow sullo {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how su gli {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how su i {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how su il {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how su l' {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how su la {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how su le {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how su lo {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how su {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how sugli {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how sui {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how sul {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how sull' {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how sulla {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how sulle {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wiki how sullo {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow su gli {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow su i {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow su il {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow su l' {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow su la {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow su le {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow su lo {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow su {query}"
ovos-skill-wikihow.openvoiceos,"wikihow.intent","cosa pensa wikihow sugli {query}"
