domain,intent,utterance
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","geef willekeurige wiki"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","geef willekeurige wikipedia"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","open willekeurige wiki"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","open willekeurige wikipedia"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","toon willekeurige wiki"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","toon willekeurige wikipedia"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","verras me met een Wikipedia feitje"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","wiki roulette"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","wikipedia roulette"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","willekeurig wiki"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","willekeurig wikipedia"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","willekeurige wiki pagina"
ovos-skill-wikipedia.openvoiceos,"wikiroulette.intent","willekeurige wikipedia pagina"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","check wiki naar{query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","check wiki voor{query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","check wikipedia naar{query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","check wikipedia voor{query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","wat zegt wiki over {query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","wat zegt wikipedia over {query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","wiki {query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","wikipedia {query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","zoek op wiki naar{query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","zoek op wiki voor{query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","zoek op wikipedia naar{query}"
ovos-skill-wikipedia.openvoiceos,"wiki.intent","zoek op wikipedia voor{query}"
