domain,intent,utterance
ovos-skill-days-in-history.openvoiceos,"births_in_history.intent","quem nasceu hoje na história"
ovos-skill-days-in-history.openvoiceos,"deaths_in_history.intent","quem morreu hoje na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos em esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos em esta data da história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos em esta data na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos em {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos em {date} da história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos em {date} na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos esta data da história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos esta data na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos hoje"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos hoje da história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos hoje na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos nesta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos nesta data da história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  eventos históricos nesta data na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu em esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu em esta data da história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu em esta data na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu em {date}"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu em {date} da história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu em {date} na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu esta data"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu esta data da história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu esta data na história"
ovos-skill-days-in-history.openvoiceos,"today_in_history.intent","conta-me  o que aconteceu hoje"
