domain,utterance
ovos-skill-alerts.openvoiceos,"Cancel·la totes les alarmes."
ovos-skill-alerts.openvoiceos,"Cancel·la tots els recordatoris."
ovos-skill-alerts.openvoiceos,"Cancel·la tots els temporitzadors."
ovos-skill-alerts.openvoiceos,"Estableix una alarma diària per a les 8 del matí."
ovos-skill-alerts.openvoiceos,"Estableix una alarma per a les 8 del matí tots els dissabtes."
ovos-skill-alerts.openvoiceos,"Inicia un temporitzador de pa durant 30 minuts."
ovos-skill-alerts.openvoiceos,"M'he perdut alguna cosa?"
ovos-skill-alerts.openvoiceos,"Posa una alarma a les 8 AM."
ovos-skill-alerts.openvoiceos,"Programa un esdeveniment de tennis per a les 14:00 de divendres amb una durada de 2 hores."
ovos-skill-alerts.openvoiceos,"Quan és la meva pròxima alarma?"
ovos-skill-cmd.forslund,"executa l'ordre ___"
ovos-skill-cmd.forslund,"executa l'script ___"
ovos-skill-confucius-quotes.openvoiceos,"Cita de Confuci"
ovos-skill-confucius-quotes.openvoiceos,"Quan va morir Confuci"
ovos-skill-confucius-quotes.openvoiceos,"Quan va néixer Confuci"
ovos-skill-confucius-quotes.openvoiceos,"Qui és Confuci"
ovos-skill-days-in-history.openvoiceos,"Explica'm els fets històrics del 12 de desembre"
ovos-skill-days-in-history.openvoiceos,"Qui va morir tal dia com avui a la història?"
ovos-skill-days-in-history.openvoiceos,"Qui va néixer avui a la història?"
ovos-skill-days-in-history.openvoiceos,"Quins fets històrics van passar el 16 de juny?"
ovos-skill-days-in-history.openvoiceos,"Què va passar avui a la història?"
ovos-skill-dictation.openvoiceos,"comença el dictat"
ovos-skill-dictation.openvoiceos,"finalitza el dictat"
ovos-skill-ip.openvoiceos,"A quina xarxa estàs connectat?"
ovos-skill-ip.openvoiceos,"Digues-me la teva adreça IP"
ovos-skill-ip.openvoiceos,"Digues-me la teva adreça de xarxa"
ovos-skill-ip.openvoiceos,"Quina és la teva adreça IP?"
ovos-skill-ip.openvoiceos,"Quina és la teva adreça de xarxa?"
ovos-skill-iss-location.openvoiceos,"On és l'EEI"
ovos-skill-iss-location.openvoiceos,"Parla'm de l'EEI"
ovos-skill-iss-location.openvoiceos,"Quan passa l'EEI per sobre?"
ovos-skill-iss-location.openvoiceos,"Quantes persones hi ha a bord de l'estació espacial?"
ovos-skill-iss-location.openvoiceos,"Qui hi ha a bord de l'estació espacial?"
ovos-skill-number-facts.openvoiceos,"curiositat sobre l'any 1992"
ovos-skill-number-facts.openvoiceos,"fet sobre ahir"
ovos-skill-number-facts.openvoiceos,"fet sobre el nombre 666"
ovos-skill-number-facts.openvoiceos,"preguntes aletòries de nombres"
ovos-skill-number-facts.openvoiceos,"preguntes sobre demà"
ovos-skill-number-facts.openvoiceos,"preguntes sobre la setmana vinent"
ovos-skill-number-facts.openvoiceos,"un fet matemàtic sobre el nombre 7"
ovos-skill-personal.OpenVoiceOS,"On vas néixer?"
ovos-skill-personal.OpenVoiceOS,"Quan et van crear?"
ovos-skill-personal.OpenVoiceOS,"Qui et va fer?"
ovos-skill-personal.OpenVoiceOS,"Què ets?"
