domain,utterance
ovos-skill-alerts.openvoiceos,"Annuller alle alarmer."
ovos-skill-alerts.openvoiceos,"Annuller alle påmindelser."
ovos-skill-alerts.openvoiceos,"Annuller alle timere."
ovos-skill-alerts.openvoiceos,"Gik jeg glip af noget?"
ovos-skill-alerts.openvoiceos,"Hvad er mine påmindelser?"
ovos-skill-alerts.openvoiceos,"Hvad gik jeg glip af?"
ovos-skill-alerts.openvoiceos,"Hvornår er min næste alarm?"
ovos-skill-alerts.openvoiceos,"Indstil en alarm til kl. 8 om lørdagen."
ovos-skill-alerts.openvoiceos,"Indstil en alarm til kl. 8."
ovos-skill-alerts.openvoiceos,"Indstil en daglig alarm til kl."
ovos-skill-audio-recording.openvoiceos,"begynd at optage"
ovos-skill-audio-recording.openvoiceos,"begynd at optage"
ovos-skill-audio-recording.openvoiceos,"ny optagelse med navnet {name}"
ovos-skill-audio-recording.openvoiceos,"start en ny lydoptagelse kaldet {name}"
ovos-skill-audio-recording.openvoiceos,"start en optagelse kaldet {name}"
ovos-skill-boot-finished.openvoiceos,"Aktiver klarmeddelelser."
ovos-skill-boot-finished.openvoiceos,"Deaktiver klarmeddelelser."
ovos-skill-boot-finished.openvoiceos,"Er systemet klar?"
ovos-skill-cmd.forslund,"køre script ___"
ovos-skill-cmd.forslund,"start kommando ___"
ovos-skill-confucius-quotes.openvoiceos,"Citat fra Confucius"
ovos-skill-confucius-quotes.openvoiceos,"Hvem er Confucius"
ovos-skill-confucius-quotes.openvoiceos,"Hvornår blev Confucius født"
ovos-skill-confucius-quotes.openvoiceos,"Hvornår døde Confucius"
ovos-skill-date-time.openvoiceos,"Fortæl mig ugedagen"
ovos-skill-date-time.openvoiceos,"Hvad er datoen?"
ovos-skill-date-time.openvoiceos,"Hvad er klokken i Paris?"
ovos-skill-date-time.openvoiceos,"Hvad er klokken?"
ovos-skill-date-time.openvoiceos,"Hvilken dag er Memorial Day 2020?"
ovos-skill-date-time.openvoiceos,"Hvor mange dage indtil 4. juli"
ovos-skill-date-time.openvoiceos,"Vis mig tiden"
ovos-skill-days-in-history.openvoiceos,"Fortæl mig om begivenheder i historien den 12. december"
ovos-skill-days-in-history.openvoiceos,"Hvad skete der i dag i historien?"
ovos-skill-days-in-history.openvoiceos,"Hvilke historiske begivenheder skete den 16. juni?"
ovos-skill-days-in-history.openvoiceos,"hvem blev født i dag i historien?"
ovos-skill-days-in-history.openvoiceos,"hvem døde i dag i historien?"
ovos-skill-dictation.openvoiceos,"afslut diktat"
ovos-skill-dictation.openvoiceos,"start diktat"
ovos-skill-hello-world.openvoiceos,"Hej verden"
ovos-skill-hello-world.openvoiceos,"Hvordan har du det?"
ovos-skill-hello-world.openvoiceos,"Tak"
ovos-skill-icanhazdadjokes.openvoiceos,"Fortæl mig en vittighed om tandlæger."
ovos-skill-icanhazdadjokes.openvoiceos,"Fortæl mig en vittighed."
ovos-skill-icanhazdadjokes.openvoiceos,"Få mig til at grine."
ovos-skill-icanhazdadjokes.openvoiceos,"Kan du fortælle vittigheder?"
ovos-skill-icanhazdadjokes.openvoiceos,"Kender du nogen Chuck Norris-jokes?"
ovos-skill-icanhazdadjokes.openvoiceos,"Kender du nogle vittigheder?"
ovos-skill-icanhazdadjokes.openvoiceos,"Sig en joke."
ovos-skill-ip.openvoiceos,"Fortæl mig din IP-adresse"
ovos-skill-ip.openvoiceos,"Fortæl mig din netværksadresse"
ovos-skill-ip.openvoiceos,"Hvad er din IP-adresse?"
ovos-skill-ip.openvoiceos,"Hvad er din netværksadresse?"
ovos-skill-ip.openvoiceos,"Hvilket netværk er du tilsluttet?"
ovos-skill-iss-location.openvoiceos,"Fortæl mig om IS"
ovos-skill-iss-location.openvoiceos,"Hvem er om bord på rumstationen?"
ovos-skill-iss-location.openvoiceos,"Hvor er ISS"
ovos-skill-iss-location.openvoiceos,"Hvornår passerer ISS"
ovos-skill-iss-location.openvoiceos,"hvor mange personer om bord på rumstationen"
ovos-skill-local-media.openvoiceos,"start filbrowser-appen"
ovos-skill-local-media.openvoiceos,"start filbrowseren"
ovos-skill-local-media.openvoiceos,"start usb browser"
ovos-skill-local-media.openvoiceos,"start usb browser app"
ovos-skill-local-media.openvoiceos,"vis filbrowser"
