domain,utterance
ovos-skill-alerts.openvoiceos,"Cales son os meus recordatorios?"
ovos-skill-alerts.openvoiceos,"Cancela todas as alarmas."
ovos-skill-alerts.openvoiceos,"Cancela todos os recordatorios."
ovos-skill-alerts.openvoiceos,"Cancela todos os temporizadores."
ovos-skill-alerts.openvoiceos,"Cando soa a miña próxima alarma?"
ovos-skill-alerts.openvoiceos,"Configura unha alarma diaria para as 8 da mañá."
ovos-skill-alerts.openvoiceos,"Configura unha alarma para as 8 da mañá dos sábados."
ovos-skill-alerts.openvoiceos,"Configura unha alarma para as 8 da mañá."
ovos-skill-alerts.openvoiceos,"Inicia un temporizador para o pan de 30 minutos."
ovos-skill-alerts.openvoiceos,"Lémbrame sacar o lixo todos os xoves e domingos ás 19:00."
ovos-skill-cmd.forslund,"executar script ___"
ovos-skill-cmd.forslund,"iniciar comando ___"
ovos-skill-iss-location.openvoiceos,"Cando pasa a EEI?"
ovos-skill-iss-location.openvoiceos,"Fálame da EEI"
ovos-skill-iss-location.openvoiceos,"Onde está a EEI?"
ovos-skill-iss-location.openvoiceos,"Quen está a bordo da estación espacial?"
ovos-skill-iss-location.openvoiceos,"cantas persoas están a bordo da estación espacial"
ovos-skill-wikihow.openvoiceos,"como consigo que o meu can deixe de ladrar"
ovos-skill-wikihow.openvoiceos,"como ferver un ovo"
skill-ovos-ddg.openvoiceos,"Cando naceu Stephen Hawking?"
skill-ovos-ddg.openvoiceos,"Quen é Elon Musk?"
skill-ovos-ddg.openvoiceos,"pregúntalle a duck sobre o big bang"
skill-ovos-hello-world.openvoiceos,"Como estás?"
skill-ovos-hello-world.openvoiceos,"Grazas"
skill-ovos-hello-world.openvoiceos,"Ola mundo"
skill-ovos-naptime.openvoiceos,"(Esperta|Desperta|Acorda)"
skill-ovos-naptime.openvoiceos,"Hora da sesta"
skill-ovos-naptime.openvoiceos,"Vai durmir"
skill-ovos-news.openvoiceos,"pon as noticias"
skill-ovos-news.openvoiceos,"pon as noticias catalás"
skill-ovos-news.openvoiceos,"pon as noticias da npr"
skill-ovos-news.openvoiceos,"pon as noticias portuguesas"
skill-ovos-news.openvoiceos,"pon euronews"
skill-ovos-news.openvoiceos,"pon noticias en español"
skill-ovos-parrot.openvoiceos,"Dime o que acabo de dicir."
skill-ovos-parrot.openvoiceos,"Podes repetir iso?"
skill-ovos-parrot.openvoiceos,"Que acabo de dicir?"
skill-ovos-parrot.openvoiceos,"Repite iso"
skill-ovos-parrot.openvoiceos,"Repite o que acabas de dicir"
skill-ovos-parrot.openvoiceos,"comezar papagaio"
skill-ovos-parrot.openvoiceos,"di Boas noites, Ana"
skill-ovos-parrot.openvoiceos,"di podo dicir o que queiras!"
skill-ovos-parrot.openvoiceos,"parar papagaio"
skill-ovos-parrot.openvoiceos,"repite Unha vez, nunha lúgubre medianoite, en canto cavilaba, débil e canso, nun moi vello e raro libro de saber esquecido"
skill-ovos-spelling.openvoiceos,"Como se escribe aardvark?"
skill-ovos-spelling.openvoiceos,"Como se soletrea burocracia?"
skill-ovos-spelling.openvoiceos,"Deletrea succotash"
skill-ovos-spelling.openvoiceos,"Soletrea omnipotencia"
skill-ovos-volume.openvoiceos,"activar o audio"
skill-ovos-volume.openvoiceos,"activar o son"
skill-ovos-volume.openvoiceos,"activar o volume"
skill-ovos-volume.openvoiceos,"alternar audio"
skill-ovos-volume.openvoiceos,"alternar silencio"
skill-ovos-volume.openvoiceos,"alto volume"
skill-ovos-volume.openvoiceos,"baixar o nivel de volume"
skill-ovos-volume.openvoiceos,"baixar o volume"
skill-ovos-volume.openvoiceos,"baixo volume"
skill-ovos-volume.openvoiceos,"fixar o nivel de volume no máximo"
skill-ovos-weather.openvoiceos,"(está a chover?|está chovendo?)"
skill-ovos-weather.openvoiceos,"Cal será a temperatura en París mañá en graos Celsius?"
skill-ovos-weather.openvoiceos,"Cal será a temperatura máxima de mañá?"
skill-ovos-weather.openvoiceos,"Cal é a previsión para Londres mañá?"
skill-ovos-weather.openvoiceos,"Cal é a previsión para mañá?"
skill-ovos-weather.openvoiceos,"Cal é a temperatura?"
skill-ovos-weather.openvoiceos,"Cando se pon o sol?"
skill-ovos-weather.openvoiceos,"Cando volverá chover?"
skill-ovos-weather.openvoiceos,"Como será o tempo esta fin de semana?"
skill-ovos-weather.openvoiceos,"Como será o tempo nos próximos tres días?"
