domain,utterance
ovos-skill-alerts.openvoiceos,"Annulla tutti gli allarmi."
ovos-skill-alerts.openvoiceos,"Annulla tutti i promemoria."
ovos-skill-alerts.openvoiceos,"Annulla tutti i timer."
ovos-skill-alerts.openvoiceos,"Cosa mi sono perso?"
ovos-skill-alerts.openvoiceos,"Imposta la sveglia alle 8 del mattino per ogni sabato."
ovos-skill-alerts.openvoiceos,"Imposta un timer per la cottura del pane su 30 minuti."
ovos-skill-alerts.openvoiceos,"Imposta una sveglia giornaliera per le 8."
ovos-skill-alerts.openvoiceos,"Imposta una sveglia per le 8."
ovos-skill-alerts.openvoiceos,"Mi sono perso qualcosa?"
ovos-skill-alerts.openvoiceos,"Organizza un evento di tennis della durata di 2 ore per le ore 14 di venerdì."
skill-ovos-date-time.openvoiceos,"Che ora è?"
skill-ovos-date-time.openvoiceos,"[UNUSED]"
skill-ovos-date-time.openvoiceos,"[UNUSED]"
skill-ovos-date-time.openvoiceos,"[UNUSED]"
skill-ovos-date-time.openvoiceos,"[UNUSED]"
skill-ovos-date-time.openvoiceos,"[UNUSED]"
skill-ovos-date-time.openvoiceos,"[UNUSED]"
skill-ovos-ddg.openvoiceos,"cerca con duck duck go big bang"
skill-ovos-ddg.openvoiceos,"cerca su duck duck chi è elon musk"
skill-ovos-ddg.openvoiceos,"cerca su duck duck quando è nato stephen hawking"
skill-ovos-news.openvoiceos,"metti euronews"
skill-ovos-news.openvoiceos,"metti il giornale radio"
skill-ovos-news.openvoiceos,"metti il giornale radio portoghese"
skill-ovos-news.openvoiceos,"metti il radiogiornale italiano"
skill-ovos-news.openvoiceos,"metti il radiogiornale spagnolo"
skill-ovos-news.openvoiceos,"metti npr news"
skill-ovos-volume.openvoiceos,"Abbassa il volume"
skill-ovos-volume.openvoiceos,"Alza il volume"
skill-ovos-volume.openvoiceos,"Alza il volume"
skill-ovos-volume.openvoiceos,"Alza il volume"
skill-ovos-volume.openvoiceos,"Alza il volume al massimo"
skill-ovos-volume.openvoiceos,"Alza il volume al massimo"
skill-ovos-volume.openvoiceos,"Grida"
skill-ovos-volume.openvoiceos,"Imposta il volume al valore predefinito"
skill-ovos-volume.openvoiceos,"Imposta il volume di default"
skill-ovos-volume.openvoiceos,"Metti il volume basso"
