domain,utterance
ovos-skill-boot-finished.openvoiceos,"Desabilite as notificações prontas."
ovos-skill-boot-finished.openvoiceos,"Habilitar notificações prontas."
ovos-skill-boot-finished.openvoiceos,"O sistema está pronto?"
ovos-skill-cmd.forslund,"executar comando ___"
ovos-skill-cmd.forslund,"execute o script ___"
ovos-skill-date-time.openvoiceos,"Diga-me o dia da semana"
ovos-skill-date-time.openvoiceos,"Mostre-me as horas"
ovos-skill-date-time.openvoiceos,"Qual é a data?"
ovos-skill-date-time.openvoiceos,"Quantos dias faltam para 4 de julho"
ovos-skill-date-time.openvoiceos,"Que dia é o Memorial Day de 2020?"
ovos-skill-date-time.openvoiceos,"Que horas são em Paris?"
ovos-skill-date-time.openvoiceos,"Que horas são?"
ovos-skill-dictation.openvoiceos,"começar o ditado"
ovos-skill-dictation.openvoiceos,"fim do ditado"
ovos-skill-icanhazdadjokes.openvoiceos,"Conhece alguma piada de Chuck Norris?"
ovos-skill-icanhazdadjokes.openvoiceos,"Conhece alguma piada?"
ovos-skill-icanhazdadjokes.openvoiceos,"Conte-me uma piada sobre dentistas."
ovos-skill-icanhazdadjokes.openvoiceos,"Conte-me uma piada."
ovos-skill-icanhazdadjokes.openvoiceos,"Diga uma piada."
ovos-skill-icanhazdadjokes.openvoiceos,"Faça-me rir."
ovos-skill-icanhazdadjokes.openvoiceos,"Pode contar piadas?"
ovos-skill-local-media.openvoiceos,"abra aplicativo navegador de arquivos"
ovos-skill-local-media.openvoiceos,"abra meu navegador de arquivos"
ovos-skill-local-media.openvoiceos,"abra o aplicativo do navegador USB"
ovos-skill-local-media.openvoiceos,"abra o navegador usb"
ovos-skill-local-media.openvoiceos,"abra unidade USB"
ovos-skill-local-media.openvoiceos,"abra unidade do navegador de arquivos"
ovos-skill-local-media.openvoiceos,"abrir meu navegador de arquivos"
ovos-skill-local-media.openvoiceos,"abrir meu pendrive"
ovos-skill-local-media.openvoiceos,"abrir meu usb"
ovos-skill-local-media.openvoiceos,"abrir navegador de arquivos"
ovos-skill-naptime.openvoiceos,"Acorde"
ovos-skill-naptime.openvoiceos,"Vá dormir"
ovos-skill-naptime.openvoiceos,"[Hora da] soneca"
ovos-skill-news.openvoiceos,"reproduza as notícias"
ovos-skill-news.openvoiceos,"reproduzir euronews"
ovos-skill-news.openvoiceos,"reproduzir notícias catalãs"
ovos-skill-news.openvoiceos,"reproduzir notícias da NPR"
ovos-skill-news.openvoiceos,"reproduzir notícias em espanhol"
ovos-skill-news.openvoiceos,"reproduzir notícias portuguesas"
ovos-skill-number-facts.openvoiceos,"curiosidade sobre o ano de 1992"
ovos-skill-number-facts.openvoiceos,"curiosidades sobre a próxima semana"
ovos-skill-number-facts.openvoiceos,"curiosidades sobre o amanhã"
ovos-skill-number-facts.openvoiceos,"curiosidades sobre os números aleatórios"
ovos-skill-number-facts.openvoiceos,"facto matemático sobre o número 7"
ovos-skill-number-facts.openvoiceos,"facto sobre o número 666"
ovos-skill-number-facts.openvoiceos,"facto sobre ontem"
ovos-skill-parrot.openvoiceos,"Diga-me o que acabei de dizer."
ovos-skill-parrot.openvoiceos,"O que eu acabei de dizer?"
ovos-skill-parrot.openvoiceos,"Repita isto"
ovos-skill-parrot.openvoiceos,"Repita o que você acabou de dizer"
ovos-skill-parrot.openvoiceos,"Você pode repetir?"
ovos-skill-parrot.openvoiceos,"diga boa noite, Gracie"
ovos-skill-parrot.openvoiceos,"fale Eu posso dizer qualquer coisa que você quiser!"
ovos-skill-parrot.openvoiceos,"inicie papagaio"
ovos-skill-parrot.openvoiceos,"pare papagaio"
ovos-skill-parrot.openvoiceos,"repetir Era uma vez uma meia-noite sombria, enquanto eu ponderava, fraco e cansado, sobre muitos volumes curiosos e pitorescos de conhecimento folclórico"
ovos-skill-personal.openvoiceos,"Onde você nasceu?"
ovos-skill-personal.openvoiceos,"Quando você foi criado?"
ovos-skill-personal.openvoiceos,"Quem fez você?"
ovos-skill-personal.openvoiceos,"Quem é você?"
ovos-skill-volume.openvoiceos,"abaixe o volume"
ovos-skill-volume.openvoiceos,"abaixe o volume"
ovos-skill-volume.openvoiceos,"acionar mudo"
ovos-skill-volume.openvoiceos,"ajuste o nível de volume para o máximo"
ovos-skill-volume.openvoiceos,"ajuste o volume para médio"
ovos-skill-volume.openvoiceos,"ajuste o volume para o máximo"
